"Species","Type","Orthologue","Target %id","Query %id","GOC Score","WGA Coverage","High Confidence"
"Pisum sativum JI2822","Many-to-many View Gene Tree","PSAT_LOCUS7701 Compare Regions (OZ075429.1:5,135,493-5,174,060:1) View Sequence Alignments","58.74 %","59.27 %","n/a","n/a","No"
"Pisum sativum JI2822","Many-to-many View Gene Tree","PSAT_LOCUS7702 Compare Regions (OZ075429.1:5,172,272-5,174,060:1) View Sequence Alignments","58.20 %","58.73 %","n/a","n/a","No"
"Pisum sativum JI2822","Many-to-many View Gene Tree","PSAT_LOCUS8423 Compare Regions (OZ075429.1:57,613,267-57,616,204:1) View Sequence Alignments","43.78 %","44.18 %","n/a","n/a","No"
"Populus trichocarpa","Many-to-many View Gene Tree","Potri.002G010600.v4.1 Compare Regions (2:659,238-662,339:1) View Sequence Alignments","65.52 %","65.64 %","n/a","n/a","No"
"Populus trichocarpa","Many-to-many View Gene Tree","Potri.005G099500.v4.1 Compare Regions (5:7,171,538-7,177,173:-1) View Sequence Alignments","56.64 %","62.00 %","n/a","n/a","No"
"Populus trichocarpa","Many-to-many View Gene Tree","Potri.005G102901.v4.1 Compare Regions (5:7,466,905-7,475,687:-1) View Sequence Alignments","50.36 %","50.55 %","n/a","n/a","No"
"Populus trichocarpa","Many-to-many View Gene Tree","Potri.005G250700.v4.1 Compare Regions (5:24,405,046-24,408,449:-1) View Sequence Alignments","64.13 %","64.36 %","n/a","n/a","No"
"Populus trichocarpa","Many-to-many View Gene Tree","Potri.007G059401.v4.1 Compare Regions (7:6,310,208-6,326,943:-1) View Sequence Alignments","51.18 %","51.27 %","n/a","n/a","No"
"Prunus dulcis","Many-to-many View Gene Tree","Prudul26B009623 Compare Regions (pdulcis26_s0156:223,427-226,767:1) View Sequence Alignments","65.34 %","65.82 %","n/a","99.94","Yes"
"Prunus dulcis","Many-to-many View Gene Tree","Prudul26B015632 Compare Regions (pdulcis26_s0001:3,244,064-3,248,965:1) View Sequence Alignments","52.11 %","51.64 %","n/a","97.28","Yes"
"Prunus dulcis","Many-to-many View Gene Tree","Prudul26B026427 Compare Regions (pdulcis26_s0001:3,278,132-3,280,358:-1) View Sequence Alignments","58.79 %","63.82 %","n/a","4.79","No"
"Quercus lobata","Many-to-many View Gene Tree","QL01p015142 Compare Regions (1:15,139,277-15,143,860:1) View Sequence Alignments","64.09 %","64.91 %","n/a","n/a","No"
"Quercus lobata","Many-to-many View Gene Tree","QL01p015174 Compare Regions (1:15,171,637-15,177,314:1) View Sequence Alignments","65.53 %","66.36 %","n/a","n/a","No"
"Quercus lobata","Many-to-many View Gene Tree","QL02p003926 Compare Regions (CM012294:3,924,384-3,928,470:-1) View Sequence Alignments","65.35 %","66.18 %","n/a","n/a","No"
"Quercus lobata","Many-to-many View Gene Tree","QL02p003950 Compare Regions (CM012294:3,947,876-3,952,263:-1) View Sequence Alignments","64.09 %","64.91 %","n/a","n/a","No"
"Quercus lobata","Many-to-many View Gene Tree","QL02p099540 Compare Regions (CM012294:99,536,755-99,543,510:-1) View Sequence Alignments","51.48 %","50.55 %","n/a","n/a","No"
"Quercus lobata","Many-to-many View Gene Tree","QL06p052690 Compare Regions (6:52,688,300-52,692,434:-1) View Sequence Alignments","59.74 %","65.82 %","n/a","n/a","No"
"Quercus lobata","Many-to-many View Gene Tree","QL06p053893 Compare Regions (6:53,890,802-53,895,356:1) View Sequence Alignments","59.74 %","65.82 %","n/a","n/a","No"
"Quercus lobata","Many-to-many View Gene Tree","QL10p052087 Compare Regions (10:52,085,939-52,087,900:-1) View Sequence Alignments","61.93 %","46.73 %","n/a","n/a","No"
"Quercus suber","Many-to-many View Gene Tree","AAE2_1  (gene-CFP56_02374) Compare Regions (PKMF03010077.1:1,728,940-1,733,102:1) View Sequence Alignments","61.39 %","65.64 %","n/a","n/a","No"
"Quercus suber","Many-to-many View Gene Tree","AAE2_3  (gene-CFP56_06521) Compare Regions (PKMF03008240.1:1,386,966-1,391,585:-1) View Sequence Alignments","62.66 %","62.55 %","n/a","n/a","No"
"Quercus suber","Many-to-many View Gene Tree","gene-CFP56_20054 Compare Regions (PKMF03003523.1:315,770-319,895:1) View Sequence Alignments","63.36 %","63.82 %","n/a","n/a","No"
"Quercus suber","Many-to-many View Gene Tree","gene-CFP56_20057 Compare Regions (PKMF03003523.1:332,390-334,079:1) View Sequence Alignments","40.09 %","15.45 %","n/a","n/a","No"
"Quercus suber","Many-to-many View Gene Tree","gene-CFP56_20059 Compare Regions (PKMF03003523.1:355,319-358,551:1) View Sequence Alignments","65.17 %","66.00 %","n/a","n/a","No"
"Quercus suber","Many-to-many View Gene Tree","gene-CFP56_40002 Compare Regions (PKMF03001604.1:277,428-293,695:-1) View Sequence Alignments","49.37 %","49.64 %","n/a","n/a","No"
"Quercus suber","Many-to-many View Gene Tree","gene-CFP56_72316 Compare Regions (PKMF03009097.1:15,171-29,741:-1) View Sequence Alignments","34.63 %","50.00 %","n/a","n/a","No"
"Quercus suber","Many-to-many View Gene Tree","gene-CFP56_73773 Compare Regions (PKMF03011057.1:22,216-26,272:-1) View Sequence Alignments","61.67 %","57.64 %","n/a","n/a","No"
"Rosa chinensis","Many-to-many View Gene Tree","RchiOBHm_Chr2g0097611 Compare Regions (2:10,179,561-10,181,048:1) View Sequence Alignments","52.48 %","32.73 %","n/a","80.36","Yes"
"Rosa chinensis","Many-to-many View Gene Tree","RchiOBHm_Chr2g0097621 Compare Regions (2:10,181,068-10,181,571:1) View Sequence Alignments","67.07 %","20.36 %","n/a","63.47","No"
"Rosa chinensis","Many-to-many View Gene Tree","RchiOBHm_Chr2g0097661 Compare Regions (2:10,255,509-10,261,869:-1) View Sequence Alignments","52.90 %","53.09 %","n/a","89.94","Yes"
"Rosa chinensis","Many-to-many View Gene Tree","RchiOBHm_Chr2g0146681 Compare Regions (2:64,316,717-64,318,703:-1) View Sequence Alignments","56.64 %","62.00 %","n/a","94.68","Yes"
"Rosa chinensis","Many-to-many View Gene Tree","RchiOBHm_Chr3g0449271 Compare Regions (3:1,128,547-1,128,912:1) View Sequence Alignments","67.77 %","14.91 %","n/a","84.48","No"
"Rosa chinensis","Many-to-many View Gene Tree","RchiOBHm_Chr3g0449281 Compare Regions (3:1,129,032-1,129,479:1) View Sequence Alignments","60.81 %","16.36 %","n/a","82.80","No"
"Rosa chinensis","Many-to-many View Gene Tree","RchiOBHm_Chr6g0268031 Compare Regions (6:24,855,055-24,857,508:1) View Sequence Alignments","57.80 %","64.00 %","n/a","93.37","Yes"
"Rosa chinensis","Many-to-many View Gene Tree","RchiOBHm_Chr6g0275221 Compare Regions (6:36,897,677-36,901,776:-1) View Sequence Alignments","64.26 %","64.73 %","n/a","98.61","Yes"
"Secale cereale","1-to-many View Gene Tree","SECCE2Rv1G0123770 Compare Regions (2R:827,699,938-827,701,587:-1) View Sequence Alignments","79.60 %","79.45 %","n/a","100.00","Yes"
"Secale cereale","1-to-many View Gene Tree","SECCE5Rv1G0367980 Compare Regions (5R:825,718,371-825,719,372:-1) View Sequence Alignments","80.48 %","48.73 %","n/a","94.04","Yes"
"Selaginella moellendorffii","Many-to-many View Gene Tree","SELMODRAFT_236556 Compare Regions (GL377703:34,714-36,454:-1) View Sequence Alignments","58.51 %","58.73 %","n/a","0.00","No"
"Selaginella moellendorffii","Many-to-many View Gene Tree","SELMODRAFT_409095 Compare Regions (GL377574:3,073,505-3,075,245:1) View Sequence Alignments","59.05 %","58.73 %","n/a","0.00","No"
"Selaginella moellendorffii","Many-to-many View Gene Tree","SELMODRAFT_425113 Compare Regions (GL377637:148,698-149,352:-1) View Sequence Alignments","55.11 %","17.64 %","n/a","0.00","No"
"Selaginella moellendorffii","Many-to-many View Gene Tree","SELMODRAFT_440236 Compare Regions (GL377574:3,075,842-3,082,415:-1) View Sequence Alignments","58.15 %","58.36 %","n/a","97.22","Yes"
"Selaginella moellendorffii","Many-to-many View Gene Tree","SELMODRAFT_448826 Compare Regions (GL377703:27,451-29,237:1) View Sequence Alignments","58.50 %","58.18 %","n/a","0.00","No"
"Sesamum indicum","Many-to-many View Gene Tree","SIN_1005131 Compare Regions (LG3:6,991,398-6,993,479:-1) View Sequence Alignments","57.46 %","61.64 %","n/a","n/a","No"
"Sesamum indicum","Many-to-many View Gene Tree","SIN_1015801 Compare Regions (LG3:19,787,041-19,789,567:1) View Sequence Alignments","64.80 %","65.27 %","n/a","n/a","No"
"Setaria italica","1-to-1 View Gene Tree","SETIT_035042mg Compare Regions (IX:56,882,745-56,884,655:1) View Sequence Alignments","83.64 %","82.73 %","n/a","100.00","Yes"
"Setaria viridis","1-to-1 View Gene Tree","SEVIR_9G555200v2 Compare Regions (9:54,419,123-54,420,891:1) View Sequence Alignments","83.64 %","82.73 %","n/a","100.00","Yes"
"Solanum lycopersicum","Many-to-many View Gene Tree","Solyc02g061740.2 Compare Regions (2:33,818,397-33,819,469:1) View Sequence Alignments","50.37 %","24.73 %","n/a","n/a","No"
"Solanum lycopersicum","Many-to-many View Gene Tree","Solyc02g082870.3 Compare Regions (2:47,074,724-47,084,881:1) View Sequence Alignments","29.83 %","61.45 %","n/a","n/a","No"
"Solanum lycopersicum","Many-to-many View Gene Tree","Solyc02g082910.3 Compare Regions (2:47,096,706-47,101,398:-1) View Sequence Alignments","44.25 %","45.45 %","n/a","95.22","Yes"
"Solanum lycopersicum","Many-to-many View Gene Tree","Solyc03g032210.3 Compare Regions (3:4,740,921-4,743,812:1) View Sequence Alignments","57.65 %","61.64 %","n/a","n/a","No"
"Solanum lycopersicum","Many-to-many View Gene Tree","Solyc06g008920.3 Compare Regions (6:2,845,693-2,852,153:-1) View Sequence Alignments","41.85 %","64.00 %","n/a","n/a","No"
"Solanum lycopersicum","Many-to-many View Gene Tree","Solyc07g043630.2 Compare Regions (7:57,709,139-57,711,559:1) View Sequence Alignments","55.09 %","60.00 %","n/a","n/a","No"
"Solanum lycopersicum","Many-to-many View Gene Tree","Solyc07g043640.3 Compare Regions (7:57,734,778-57,737,048:1) View Sequence Alignments","56.27 %","60.36 %","n/a","n/a","No"
"Solanum lycopersicum","Many-to-many View Gene Tree","Solyc07g043650.2 Compare Regions (7:57,739,258-57,740,753:1) View Sequence Alignments","51.29 %","43.45 %","n/a","n/a","No"
"Solanum lycopersicum","Many-to-many View Gene Tree","Solyc07g043660.3 Compare Regions (7:57,756,455-57,758,524:1) View Sequence Alignments","55.20 %","59.82 %","n/a","n/a","No"
"Solanum lycopersicum","Many-to-many View Gene Tree","Solyc08g075800.2 Compare Regions (8:60,026,313-60,032,863:1) View Sequence Alignments","30.67 %","62.18 %","n/a","n/a","No"
"Solanum lycopersicum","Many-to-many View Gene Tree","Solyc10g012100.1 Compare Regions (10:4,423,142-4,423,828:1) View Sequence Alignments","53.72 %","18.36 %","n/a","0.00","No"
"Solanum tuberosum","Many-to-many View Gene Tree","PGSC0003DMG400001526 Compare Regions (2:38,694,818-38,699,838:1) View Sequence Alignments","60.11 %","60.55 %","n/a","0.00","No"
"Solanum tuberosum","Many-to-many View Gene Tree","PGSC0003DMG400001527 Compare Regions (2:38,705,426-38,707,252:1) View Sequence Alignments","61.30 %","61.64 %","n/a","0.00","No"
"Solanum tuberosum","Many-to-many View Gene Tree","PGSC0003DMG400008672 Compare Regions (2:19,525,438-19,527,311:1) View Sequence Alignments","62.80 %","52.18 %","n/a","0.00","No"
"Solanum tuberosum","Many-to-many View Gene Tree","PGSC0003DMG400014638 Compare Regions (6:657,408-660,973:1) View Sequence Alignments","65.69 %","65.45 %","n/a","0.00","No"
"Solanum tuberosum","Many-to-many View Gene Tree","PGSC0003DMG400015922 Compare Regions (7:42,155,271-42,157,117:1) View Sequence Alignments","55.83 %","58.36 %","n/a","0.00","No"
"Solanum tuberosum","Many-to-many View Gene Tree","PGSC0003DMG400015923 Compare Regions (7:42,149,553-42,151,433:1) View Sequence Alignments","55.78 %","60.55 %","n/a","96.23","Yes"
"Solanum tuberosum","Many-to-many View Gene Tree","PGSC0003DMG400018675 Compare Regions (3:3,217,284-3,220,437:1) View Sequence Alignments","62.16 %","61.82 %","n/a","0.00","No"
"Solanum tuberosum","Many-to-many View Gene Tree","PGSC0003DMG400020791 Compare Regions (00:2,412,060-2,412,599:1) View Sequence Alignments","40.78 %","13.27 %","n/a","0.00","No"
"Solanum tuberosum","Many-to-many View Gene Tree","PGSC0003DMG400030854 Compare Regions (8:48,127,422-48,129,173:1) View Sequence Alignments","61.66 %","62.00 %","n/a","0.00","No"
"Solanum tuberosum","Many-to-many View Gene Tree","PGSC0003DMG400036440 Compare Regions (7:42,145,279-42,147,147:1) View Sequence Alignments","55.13 %","57.64 %","n/a","0.00","No"
"Sorghum bicolor","1-to-1 View Gene Tree","SORBI_3001G515400 Compare Regions (1:78,238,291-78,240,062:1) View Sequence Alignments","81.95 %","82.55 %","n/a","99.53","Yes"
"Sphenostylis stenocarpa","Many-to-many View Gene Tree","gene-AYBTSS11_LOCUS10738 Compare Regions (OY731400.1:87,387,830-87,390,910:1) View Sequence Alignments","56.40 %","60.91 %","n/a","n/a","No"
"Sphenostylis stenocarpa","Many-to-many View Gene Tree","gene-AYBTSS11_LOCUS4032 Compare Regions (OY731399.1:1,585,571-1,590,454:-1) View Sequence Alignments","50.81 %","62.36 %","n/a","n/a","No"
"Sphenostylis stenocarpa","Many-to-many View Gene Tree","gene-AYBTSS11_LOCUS4817 Compare Regions (OY731399.1:8,395,878-8,405,317:1) View Sequence Alignments","47.07 %","46.73 %","n/a","n/a","No"
"Theobroma cacao Matina 1-6","Many-to-many View Gene Tree","TCM_000085 Compare Regions (1:356,641-360,640:1) View Sequence Alignments","59.86 %","64.00 %","n/a","95.55","Yes"
"Theobroma cacao Matina 1-6","Many-to-many View Gene Tree","TCM_000092 Compare Regions (1:386,134-389,882:-1) View Sequence Alignments","50.81 %","51.09 %","n/a","85.95","Yes"
"Theobroma cacao Matina 1-6","Many-to-many View Gene Tree","TCM_006468 Compare Regions (2:2,367,214-2,369,229:1) View Sequence Alignments","50.79 %","29.09 %","n/a","90.04","Yes"
"Theobroma cacao Matina 1-6","Many-to-many View Gene Tree","TCM_034378 Compare Regions (8:2,685,005-2,688,539:-1) View Sequence Alignments","64.86 %","65.45 %","n/a","100.00","Yes"
"Trifolium pratense","Many-to-many View Gene Tree","Tp57577_TGAC_v2_gene13531 Compare Regions (FKJA01032165.1:115-652:1) View Sequence Alignments","46.37 %","15.09 %","n/a","0.00","No"
"Trifolium pratense","Many-to-many View Gene Tree","Tp57577_TGAC_v2_gene166 Compare Regions (FKJA01002206.1:4,947-7,515:-1) View Sequence Alignments","42.80 %","40.55 %","n/a","83.70","Yes"
"Trifolium pratense","Many-to-many View Gene Tree","Tp57577_TGAC_v2_gene18301 Compare Regions (FKJA01000367.1:208,656-213,310:1) View Sequence Alignments","45.10 %","52.73 %","n/a","77.34","Yes"
"Trifolium pratense","Many-to-many View Gene Tree","Tp57577_TGAC_v2_gene18310 Compare Regions (FKJA01000367.1:194,476-198,200:1) View Sequence Alignments","55.39 %","59.82 %","n/a","95.64","Yes"
"Trifolium pratense","Many-to-many View Gene Tree","Tp57577_TGAC_v2_gene20313 Compare Regions (FKJA01015612.1:1-583:1) View Sequence Alignments","63.92 %","22.55 %","n/a","0.00","No"
"Trifolium pratense","Many-to-many View Gene Tree","Tp57577_TGAC_v2_gene34409 Compare Regions (FKJA01006031.1:988-2,433:1) View Sequence Alignments","33.48 %","13.45 %","n/a","0.00","No"
"Trifolium pratense","Many-to-many View Gene Tree","Tp57577_TGAC_v2_gene37904 Compare Regions (LG2:31,498,926-31,501,470:1) View Sequence Alignments","60.14 %","60.91 %","n/a","99.14","Yes"
"Trifolium pratense","Many-to-many View Gene Tree","Tp57577_TGAC_v2_gene37950 Compare Regions (LG2:31,493,306-31,496,086:1) View Sequence Alignments","55.44 %","56.55 %","n/a","12.09","No"
"Triticum aestivum","1-to-1 View Gene Tree","TraesCS4B02G329700 Compare Regions (4B:620,945,130-620,947,084:-1) View Sequence Alignments","80.33 %","80.18 %","n/a","0.00","No"
"Triticum aestivum","1-to-1 View Gene Tree","TraesCS4D02G326700 Compare Regions (4D:486,432,130-486,434,050:1) View Sequence Alignments","75.56 %","80.36 %","n/a","0.00","No"
"Triticum aestivum","1-to-1 View Gene Tree","TraesCS5A02G501200 Compare Regions (5A:666,750,219-666,752,226:-1) View Sequence Alignments","80.33 %","80.18 %","n/a","0.00","No"
"Triticum dicoccoides","1-to-1 View Gene Tree","TRIDC4BG055330 Compare Regions (4B:625,644,797-625,646,577:-1) View Sequence Alignments","80.33 %","80.18 %","n/a","0.00","No"
"Triticum dicoccoides","1-to-1 View Gene Tree","TRIDC5AG071290 Compare Regions (5A:659,437,338-659,500,925:-1) View Sequence Alignments","77.00 %","80.36 %","n/a","0.00","No"
"Triticum spelta","1-to-1 View Gene Tree","TraesTSP4B01G351100 Compare Regions (4B:616,061,098-616,062,747:-1) View Sequence Alignments","80.33 %","80.18 %","n/a","100.00","Yes"
"Triticum spelta","1-to-1 View Gene Tree","TraesTSP4D01G347300 Compare Regions (4D:485,600,868-485,602,625:1) View Sequence Alignments","75.56 %","80.36 %","n/a","97.18","Yes"
"Triticum spelta","1-to-1 View Gene Tree","TraesTSP5A01G529400 Compare Regions (5A:666,250,276-666,251,925:-1) View Sequence Alignments","80.51 %","80.36 %","n/a","100.00","Yes"
"Triticum timopheevii","1-to-1 View Gene Tree","Tritim_EIv0.3_0899100 Compare Regions (OY997268.1:587,067,056-587,068,881:-1) View Sequence Alignments","79.53 %","79.82 %","n/a","96.22","Yes"
"Triticum timopheevii","1-to-many View Gene Tree","Tritim_EIv0.3_1020220 Compare Regions (OY997269.1:646,181,948-646,183,953:-1) View Sequence Alignments","80.51 %","80.36 %","n/a","91.30","Yes"
"Triticum timopheevii","1-to-many View Gene Tree","Tritim_EIv0.3_1020620 Compare Regions (OY997269.1:647,343,018-647,344,782:1) View Sequence Alignments","80.33 %","80.18 %","n/a","96.94","Yes"
"Triticum turgidum","1-to-1 View Gene Tree","TRITD4Bv1G186850 Compare Regions (4B:623,913,849-623,915,498:-1) View Sequence Alignments","80.33 %","80.18 %","n/a","0.00","No"
"Triticum turgidum","1-to-1 View Gene Tree","TRITD5Av1G240530 Compare Regions (5A:625,450,254-625,451,903:-1) View Sequence Alignments","80.51 %","80.36 %","n/a","0.00","No"
"Triticum urartu","1-to-1 View Gene Tree","TuG1812G0500005136.01 Compare Regions (5:622,247,833-622,248,369:-1) View Sequence Alignments","78.49 %","24.55 %","n/a","n/a","No"
"Vicia faba","Many-to-many View Gene Tree","Vfaba.Hedin2.R1.1g350400 Compare Regions (OX451736.1:984,369,596-984,372,610:-1) View Sequence Alignments","44.44 %","41.45 %","n/a","n/a","No"
"Vicia faba","Many-to-many View Gene Tree","Vfaba.Hedin2.R1.1g390280 Compare Regions (OX451736.1:1,235,651,085-1,235,652,970:1) View Sequence Alignments","60.50 %","61.27 %","n/a","n/a","No"
"Vicia faba","Many-to-many View Gene Tree","Vfaba.Hedin2.R1.4g109320 Compare Regions (OX451739.1:723,837,281-723,839,418:1) View Sequence Alignments","53.38 %","54.55 %","n/a","n/a","No"
"Vicia faba","Many-to-many View Gene Tree","Vfaba.Hedin2.R1.4g109360 Compare Regions (OX451739.1:723,874,629-723,893,853:-1) View Sequence Alignments","49.23 %","57.82 %","n/a","n/a","No"
"Vigna angularis","Many-to-many View Gene Tree","LR48_Vigan01g170900 Compare Regions (1:23,843,605-23,846,321:1) View Sequence Alignments","60.58 %","60.91 %","n/a","0.00","No"
"Vigna angularis","Many-to-many View Gene Tree","LR48_Vigan06g055100 Compare Regions (6:5,438,689-5,440,068:-1) View Sequence Alignments","46.19 %","38.55 %","n/a","91.75","Yes"
"Vigna angularis","Many-to-many View Gene Tree","LR48_Vigan442s011000 Compare Regions (KQ258389:813,516-815,325:-1) View Sequence Alignments","62.50 %","62.73 %","n/a","99.10","Yes"
"Vigna radiata","Many-to-many View Gene Tree","Vradi07g01780 Compare Regions (7:2,952,349-2,958,742:-1) View Sequence Alignments","56.25 %","60.55 %","n/a","5.16","No"
"Vigna radiata","Many-to-many View Gene Tree","Vradi11g01420 Compare Regions (11:1,307,848-1,309,661:-1) View Sequence Alignments","62.50 %","62.73 %","n/a","98.71","Yes"
"Vigna radiata","Many-to-many View Gene Tree","Vradi11g06960 Compare Regions (11:7,010,663-7,017,275:1) View Sequence Alignments","46.72 %","46.55 %","n/a","86.13","Yes"
"Vigna unguiculata","Many-to-many View Gene Tree","Vigun02g115800.v1.2 Compare Regions (2:26,929,403-26,937,131:-1) View Sequence Alignments","46.90 %","46.73 %","n/a","n/a","No"
"Vigna unguiculata","Many-to-many View Gene Tree","Vigun02g185100.v1.2 Compare Regions (2:32,468,027-32,470,751:1) View Sequence Alignments","61.42 %","63.09 %","n/a","n/a","No"
"Vigna unguiculata","Many-to-many View Gene Tree","Vigun03g251800.v1.2 Compare Regions (3:41,802,396-41,805,552:1) View Sequence Alignments","56.49 %","60.91 %","n/a","n/a","No"
"Vitis vinifera","Many-to-many View Gene Tree","Vitis04g01739 Compare Regions (CP126651.1:22,432,338-22,435,899:1) View Sequence Alignments","53.28 %","53.09 %","n/a","n/a","No"
"Vitis vinifera","Many-to-many View Gene Tree","Vitis04g01750 Compare Regions (CP126651.1:22,568,364-22,570,826:-1) View Sequence Alignments","59.83 %","64.18 %","n/a","n/a","No"
"Vitis vinifera","Many-to-many View Gene Tree","Vitis04g01752 Compare Regions (CP126651.1:22,596,993-22,599,568:-1) View Sequence Alignments","59.83 %","64.18 %","n/a","n/a","No"
"Vitis vinifera","Many-to-many View Gene Tree","Vitis18g00110 Compare Regions (CP126665.1:997,162-1,000,406:-1) View Sequence Alignments","64.09 %","64.91 %","n/a","n/a","No"
"Zea mays","1-to-1 View Gene Tree","AAE1_2  (Zm00001eb002700) Compare Regions (1:7,509,171-7,511,704:-1) View Sequence Alignments","80.50 %","81.82 %","n/a","99.57","Yes"
